,storenum,storename,city,zipcode,longitude,latitude,orgname
0,2850.0,CVS - 1142,WEBSTER,14580,-77.501365,43.191229,CVS ALBANY LLC
1,2852.0,CVS - 2217,GREECE,14612,-77.69590500000001,43.238923,CVS ALBANY LLC
2,4603.0,CVS - 2218,ROCHESTER,14616,-77.658331,43.227241,CVS ALBANY LLC
3,6057.0,CVS - 2501,ROCHESTER,14624,-77.709106,43.122328,CVS ALBANY LLC
4,4601.0,CVS - 545,PENFIELD,14526,-77.439842,43.132637,CVS ALBANY LLC
5,5057.0,CVS - 547,ROCHESTER,14620,-77.616952,43.124313,CVS ALBANY LLC
6,5338.0,CVS - 586,ROCHESTER,14606,-77.705175,43.169678999999995,CVS ALBANY LLC
7,4641.0,CVS - 592,ROCHESTER,14618,-77.560946,43.123847999999995,CVS ALBANY LLC
8,5970.0,CVS - 653,ROCHESTER,14621,-77.585521,43.187826,CVS ALBANY LLC
9,4599.0,RITE AID - 10850,NORTH CHILI,14514,-77.806208,43.120313,RITE AID CORP.
10,4361.0,RITE AID - 1827,PENFIELD,14526,-77.442187,43.131294,RITE AID OF NEW YORK INC
11,5501.0,RITE AID - 189,SPENCERPORT,14559,-77.798486,43.190488,RITE AID OF NEW YORK INC
12,4596.0,RITE AID - 2464,ROCHESTER,14621,-77.584092,43.197208,RITE AID OF NEW YORK INC
13,4622.0,RITE AID - 3597,ROCHESTER,14621,-77.59145799999999,43.175829,RITE AID OF NEW YORK INC
14,4594.0,RITE AID - 4894,ROCHESTER,14617,-77.60034,43.210132,RITE AID OF NEW YORK INC
15,5507.0,RITE AID - 602,ROCHESTER,14607,-77.593336,43.145292,RITE AID OF NEW YORK INC
16,4377.0,RITE AID - 614,ROCHESTER,14616,-77.64059499999999,43.223129,RITE AID OF NEW YORK INC
17,5375.0,RITE AID - 615,ROCHESTER,14611,-77.634062,43.151008000000004,RITE AID OF NEW YORK INC
18,5539.0,RITE AID - 617,ROCHESTER,14609,-77.560638,43.171921999999995,RITE AID OF NEW YORK INC
