<<<<<<< HEAD
zipcode,CurrentPopulation,RacialMajority,UnemploymentRate,MedianHouseholdIncome,AverageAdjustedGrossIncome,SchoolTestPerformance,Area,SchoolRacialMajority,SchoolRacialMajorityPercentage,RacialMajorityPercentage
14580,50587,White,5.3,75618.0,81510.0,Above Average,44.0,White,87.1,90.24
14623,27173,White,5.5,54283.0,49130.0,Above Average,20.0,White,56.0,71.17
14612,34515,White,7.3,62148.0,61510.0,Average,17.0,White,69.2,86.99
14616,28534,White,10.8,55438.0,46270.0,Above Average,6.0,White,67.2,82.2
14624,36296,White,6.5,69312.0,62360.0,Average,28.0,White,66.6,81.99
14607,16223,White,10.8,42055.0,55640.0,Below Average,2.0,Black,43.8,78.46
14526,19804,White,5.9,82885.0,90850.0,Excellent,17.0,White,85.6,92.16
14620,25141,White,10.8,38738.0,53420.0,Poor,5.0,Black,50.1,71.34
14606,28255,White,7.4,45851.0,40700.0,Below Average,11.0,Black,53.4,54.8
14618,22920,White,5.2,80354.0,127100.0,Excellent,10.0,White,72.6,81.63
14621,33802,Black,10.8,26543.0,27220.0,Poor,4.0,Black,55.9,44.25
14615,16099,White,10.8,42929.0,39010.0,Below Average,5.0,Black,40.1,54.28
14609,42571,White,6.8,43365.0,42340.0,Below Average,8.0,Black,50.2,45.15
14472,8598,White,7.3,91712.0,113480.0,Excellent,45.0,White,93.2,94.62
14619,14749,Black,10.8,45462.0,35930.0,Below Average,1.0,Black,87.3,70.79
14559,18057,White,7.3,71433.0,71250.0,Above Average,41.0,White,84.4,91.65
14617,22789,White,6.8,66361.0,64880.0,Excellent,9.0,White,75.6,89.19
14611,17396,Black,10.8,26738.0,26960.0,Poor,3.0,Black,71.8,59.65
14626,30041,White,7.3,65042.0,61200.0,Average,15.0,White,64.2,89.37
14450,41104,White,5.1,89202.0,92250.0,Above Average,33.0,White,88.1,92.15
14622,12108,White,6.8,53805.0,55280.0,Above Average,5.0,White,57.4,87.37
14467,9105,White,5.5,73017.0,61120.0,Above Average,10.0,White,66.2,78.03
14625,10387,White,5.9,77743.0,84190.0,Above Average,8.0,White,82.6,92.09
14445,8019,White,5.1,50607.0,48110.0,Above Average,2.0,White,81.6,84.74
14610,14233,White,5.2,59714.0,102760.0,Poor,4.0,Black,39.9,84.96
=======
zipcode,CurrentPopulation,RacialMajority,UnemploymentRate,MedianHouseholdIncome,AverageAdjustedGrossIncome,SchoolTestPerformance,Area,SchoolRacialMajority,SchoolRacialMajorityPercentage,RacialMajorityPercentage
14580,50587,White,5.3,75618.0,81510.0,Above Average,44.0,White,87.1,90.24
14623,27173,White,5.5,54283.0,49130.0,Above Average,20.0,White,56.0,71.17
14612,34515,White,7.3,62148.0,61510.0,Average,17.0,White,69.2,86.99
14616,28534,White,10.8,55438.0,46270.0,Above Average,6.0,White,67.2,82.2
14624,36296,White,6.5,69312.0,62360.0,Average,28.0,White,66.6,81.99
14607,16223,White,10.8,42055.0,55640.0,Below Average,2.0,Black,43.8,78.46
14526,19804,White,5.9,82885.0,90850.0,Excellent,17.0,White,85.6,92.16
14620,25141,White,10.8,38738.0,53420.0,Poor,5.0,Black,50.1,71.34
14606,28255,White,7.4,45851.0,40700.0,Below Average,11.0,Black,53.4,54.8
14618,22920,White,5.2,80354.0,127100.0,Excellent,10.0,White,72.6,81.63
14621,33802,Black,10.8,26543.0,27220.0,Poor,4.0,Black,55.9,44.25
14615,16099,White,10.8,42929.0,39010.0,Below Average,5.0,Black,40.1,54.28
14609,42571,White,6.8,43365.0,42340.0,Below Average,8.0,Black,50.2,45.15
14472,8598,White,7.3,91712.0,113480.0,Excellent,45.0,White,93.2,94.62
14619,14749,Black,10.8,45462.0,35930.0,Below Average,1.0,Black,87.3,70.79
14559,18057,White,7.3,71433.0,71250.0,Above Average,41.0,White,84.4,91.65
14617,22789,White,6.8,66361.0,64880.0,Excellent,9.0,White,75.6,89.19
14611,17396,Black,10.8,26738.0,26960.0,Poor,3.0,Black,71.8,59.65
14626,30041,White,7.3,65042.0,61200.0,Average,15.0,White,64.2,89.37
14450,41104,White,5.1,89202.0,92250.0,Above Average,33.0,White,88.1,92.15
14622,12108,White,6.8,53805.0,55280.0,Above Average,5.0,White,57.4,87.37
14467,9105,White,5.5,73017.0,61120.0,Above Average,10.0,White,66.2,78.03
14625,10387,White,5.9,77743.0,84190.0,Above Average,8.0,White,82.6,92.09
14445,8019,White,5.1,50607.0,48110.0,Above Average,2.0,White,81.6,84.74
14610,14233,White,5.2,59714.0,102760.0,Poor,4.0,Black,39.9,84.96
>>>>>>> f71b0ce9096b781714a83475aa436290e47eae54
